iter	Passed	Remaining
0	159	159468
1	163	81728
2	166	55325
3	186	46429
4	188	37522
5	190	31528
6	192	27364
7	195	24201
8	197	21791
9	200	19898
10	202	18247
11	205	16892
12	208	15833
13	211	14890
14	213	14036
15	215	13260
16	217	12584
17	221	12075
18	224	11608
19	227	11141
20	229	10683
21	231	10279
22	233	9930
23	237	9640
24	240	9377
25	242	9080
26	244	8800
27	245	8537
28	248	8318
29	250	8110
30	253	7914
31	255	7743
32	258	7570
33	259	7385
34	263	7264
35	265	7112
36	268	6978
37	270	6855
38	272	6717
39	274	6585
40	279	6526
41	281	6417
42	283	6318
43	285	6201
44	286	6088
45	288	5984
46	292	5921
47	294	5835
48	296	5763
49	298	5679
50	300	5595
51	302	5515
52	304	5442
53	307	5387
54	310	5332
55	312	5267
56	314	5199
57	315	5130
58	317	5069
59	321	5040
60	324	4989
61	326	4943
62	328	4884
63	330	4827
64	332	4775
65	333	4724
66	337	4696
67	339	4656
68	342	4621
69	344	4574
70	346	4534
71	350	4514
72	352	4475
73	355	4447
74	357	4404
75	358	4362
76	360	4320
77	362	4281
78	366	4269
79	369	4244
80	371	4212
81	373	4177
82	374	4132
83	375	4099
84	381	4109
85	385	4096
86	387	4070
87	389	4040
88	391	4008
89	396	4010
90	401	4008
91	403	3981
92	405	3953
93	408	3936
94	413	3935
95	417	3928
96	418	3900
97	420	3873
98	422	3848
99	426	3841
100	430	3832
101	432	3808
102	434	3783
103	436	3756
104	440	3750
105	442	3728
106	445	3715
107	447	3695
108	448	3669
109	450	3648
110	455	3646
111	457	3626
112	460	3617
113	462	3596
114	464	3574
115	466	3553
116	470	3548
117	472	3533
118	475	3518
119	477	3498
120	478	3478
121	480	3457
122	482	3440
123	485	3426
124	488	3416
125	489	3397
126	491	3375
127	492	3357
128	494	3339
129	496	3324
130	499	3313
131	501	3299
132	503	3281
133	505	3264
134	507	3249
135	508	3232
136	510	3215
137	513	3210
138	515	3195
139	517	3179
140	519	3163
141	520	3144
142	522	3129
143	523	3114
144	525	3101
145	529	3097
146	531	3082
147	533	3072
148	544	3112
149	579	3281
150	587	3303
151	604	3370
152	607	3363
153	610	3352
154	612	3337
155	614	3326
156	616	3312
157	619	3299
158	622	3293
159	625	3282
160	626	3264
161	629	3253
162	630	3240
163	633	3226
164	635	3217
165	639	3210
166	641	3197
167	642	3183
168	644	3169
169	646	3155
170	648	3143
171	650	3132
172	653	3122
173	657	3121
174	659	3109
175	662	3100
176	664	3090
177	667	3082
178	672	3084
179	674	3074
180	676	3061
181	678	3049
182	680	3036
183	683	3033
184	685	3021
185	688	3014
186	690	3003
187	692	2991
188	694	2980
189	698	2977
190	700	2968
191	703	2959
192	705	2948
193	707	2937
194	709	2928
195	713	2926
196	715	2917
197	719	2913
198	721	2902
199	722	2890
200	724	2879
201	727	2875
202	730	2867
203	733	2860
204	735	2850
205	736	2839
206	738	2828
207	742	2827
208	744	2817
209	747	2812
210	749	2803
211	751	2792
212	753	2782
213	755	2775
214	758	2770
215	762	2766
216	763	2756
217	765	2746
218	767	2736
219	768	2725
220	772	2721
221	774	2713
222	777	2707
223	778	2698
224	781	2690
225	782	2681
226	786	2678
227	789	2673
228	792	2668
229	794	2660
230	796	2651
231	798	2644
232	803	2646
233	806	2638
234	807	2630
235	809	2621
236	811	2612
237	813	2603
238	815	2597
239	818	2591
240	820	2585
241	822	2577
242	824	2568
243	826	2559
244	827	2551
245	830	2546
246	832	2539
247	835	2534
248	837	2526
249	839	2517
250	841	2510
251	844	2506
252	846	2500
253	849	2496
254	851	2487
255	853	2481
256	856	2475
257	859	2472
258	862	2466
259	865	2462
260	866	2454
261	868	2446
262	870	2439
263	873	2434
264	876	2430
265	878	2424
266	881	2419
267	883	2411
268	884	2404
269	886	2398
270	890	2394
271	893	2390
272	894	2383
273	896	2375
274	898	2368
275	900	2361
276	903	2358
277	905	2352
278	908	2347
279	910	2340
280	911	2332
281	913	2325
282	915	2318
283	918	2315
284	921	2312
285	923	2306
286	925	2299
287	927	2292
288	929	2286
289	932	2283
290	934	2277
291	937	2273
292	939	2266
293	941	2260
294	942	2253
295	945	2248
296	948	2244
297	951	2241
298	953	2234
299	954	2228
300	956	2222
301	959	2218
302	964	2217
303	966	2213
304	968	2206
305	970	2200
306	972	2195
307	975	2192
308	978	2187
309	980	2181
310	981	2175
311	983	2168
312	985	2163
313	987	2156
314	989	2151
315	992	2148
316	994	2143
317	996	2137
318	998	2131
319	1000	2125
320	1001	2119
321	1004	2114
322	1006	2109
323	1009	2105
324	1011	2100
325	1013	2095
326	1015	2089
327	1017	2084
328	1020	2081
329	1022	2075
330	1025	2072
331	1026	2066
332	1028	2060
333	1030	2054
334	1032	2049
335	1035	2047
336	1038	2042
337	1040	2037
338	1041	2031
339	1043	2025
340	1045	2020
341	1047	2014
342	1050	2011
343	1053	2008
344	1055	2003
345	1057	1999
346	1059	1994
347	1061	1989
348	1065	1987
349	1068	1983
350	1070	1980
351	1072	1974
352	1074	1969
353	1076	1964
354	1080	1963
355	1083	1959
356	1086	1956
357	1088	1951
358	1089	1946
359	1091	1941
360	1095	1938
361	1099	1937
362	1100	1931
363	1102	1926
364	1104	1921
365	1106	1916
366	1109	1913
367	1112	1909
368	1115	1906
369	1116	1901
370	1118	1897
371	1120	1892
372	1124	1890
373	1126	1886
374	1129	1882
375	1131	1877
376	1132	1872
377	1134	1867
378	1137	1863
379	1141	1862
380	1145	1861
381	1147	1856
382	1149	1851
383	1154	1851
